Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2019-02-07,58873.23828125,60250.1212399076,58426.81262962864,59492.03994470153,22636
2019-02-08,55940.80859375,58653.64756493791,55790.825846591084,58653.64756493791,24277
2019-02-11,54845.0546875,56385.395110299105,54230.06585959786,55939.464920498845,14323
2019-02-12,54854.76953125,55669.931564234575,54403.48967347499,55245.8023551226,10994
2019-02-14,55793.00390625,56088.11138663475,54814.73288607246,55097.15535506877,8943
2019-02-15,54641.109375,55901.12683805238,54505.48826166483,55795.78182015006,12188
2019-02-18,53970.484375,54999.99537764067,53766.386894337666,54751.2521779472,5980
2019-02-19,53740.33203125,54905.808866809624,53374.1077751782,53990.31403581739,10536
2019-02-20,54300.53515625,54475.74626227779,53638.343941164,54039.60180078275,6031
2019-02-21,54218.73828125,54753.24046764205,54014.93885409647,54336.025730323,3891
2019-02-22,54466.63671875,54654.13480772696,54062.99806406768,54228.00102772111,4411
2019-02-25,54842.57421875,54969.27624256745,54361.787846795225,54969.27624256745,4311
2019-02-26,55449.8203125,55880.11947362871,53910.88414069256,54644.37782931346,5776
2019-02-27,56351.484375,56751.10866461348,55648.015245687966,55892.8950631125,11007
2019-02-28,56328.484375,56883.89437784883,56063.339246405296,56873.984291720284,12341
2019-03-01,56615.4453125,56883.90806185278,56395.340698185646,56395.340698185646,4094
2019-03-05,57144.78515625,57478.50735195293,56704.03401582274,56880.929077242115,8410
2019-03-06,58039.81640625,58261.407523031754,57037.511651438894,57518.150920849854,7261
2019-03-07,57319.703125,58068.015442942655,57126.80480418698,58043.38732500141,4062
2019-03-08,56513.8671875,57478.513659675,56319.033297919486,57478.513659675,6779
2019-03-11,57189.4375,57458.84093652749,56527.14550312811,56527.14550312811,5144
2019-03-12,56656.9609375,57729.87500638952,56290.28770199817,57577.60806123297,13277
2019-03-13,56898.37109375,57478.50605294358,56685.69907290298,57280.304307933424,8933
2019-03-14,56647.4921875,57468.59320137021,56488.48561943962,57468.59320137021,10389
