Price,Close,High,Low,Open,Volume
Ticker,INFY,INFY,INFY,INFY,INFY
Date,,,,,
2019-01-02,8.22867488861084,8.33142619768608,8.1087987696538,8.134486392773907,9818900
2019-01-03,8.10879898071289,8.211550292462583,8.10879898071289,8.177299855212686,9404900
2019-01-04,8.24580192565918,8.322865624797249,8.13448778430363,8.151613413709848,7119000
2019-01-07,8.314300537109375,8.399927027541764,8.27148729189318,8.305737724747189,7732700
2019-01-08,8.348552703857422,8.434179212073408,8.322865078030587,8.40849076965167,9391600
2019-01-09,8.45130443572998,8.46843006484595,8.339990296261002,8.357115925376972,9634300
2019-01-10,8.459866523742676,8.468429337565274,8.30573914131539,8.374240018706434,13956500
2019-01-11,8.913684844970703,9.14487591353748,8.665368965729453,8.716745030942578,40526400
2019-01-14,8.879434585571289,8.913685024203783,8.67393195377633,8.716745206215665,34162200
2019-01-15,8.982185363769531,9.059249050228107,8.956497740481613,9.05068623693386,12153400
2019-01-16,9.084938049316406,9.11062649308934,9.03356279496043,9.05068760754744,12048400
2019-01-17,9.059248924255371,9.102062173536446,8.990748052043577,9.024998488149473,9581000
2019-01-18,9.136313438415527,9.153438249724497,9.059249746037954,9.076375373941808,10168700
2019-01-22,9.016435623168945,9.144875370274198,8.96506037760269,9.110624934365092,10437700
2019-01-23,9.016435623168945,9.042124062546879,8.930809941693584,9.042124062546879,8108100
2019-01-24,8.979416847229004,9.082727390136665,8.979416847229004,9.065508555799116,6627700
2019-01-25,9.082727432250977,9.108554862837844,8.962198054446903,9.048290584455415,8839100
2019-01-28,9.056901931762695,9.09994738490107,8.98802740045464,9.031073674632404,5192200
2019-01-29,9.022461891174316,9.065508154071432,8.970807032529118,9.031071307961575,8271100
2019-01-30,9.117164611816406,9.15160146086511,8.970807798099601,9.005244647148306,7026000
2019-01-31,9.297957420349121,9.315175432771978,9.194646882694474,9.194646882694474,10354900
2019-02-01,9.384050369262695,9.409878622881651,9.306568071523666,9.341004921976328,6651300
2019-02-04,9.358222007751465,9.366831424769847,9.289348313682797,9.323785160717131,7449000
2019-02-05,9.332392692565918,9.401266372721908,9.323783277286662,9.341002107845174,6926300
2019-02-06,9.384050369262695,9.418487219715358,9.341004921976328,9.392659787135681,5478400
2019-02-07,9.341004371643066,9.409878068490636,9.297958105853528,9.34961296796959,7116200
2019-02-08,9.349611282348633,9.375439529789375,9.306565845358891,9.32378385594697,4103300
